mlp_dropout,k,cbf_beta,test_loss,cbf_gamma,test_pred_dist,epochs,seq_len,test_f1,batch_size,trial_id,lr,test_loss_avg,num_lstm_layers,lstm_dim,mlp_dim,fine_tune_lr_ratio,fc_dim,test_mcc,test_cum_ret,test_acc,num_heads,num_encoders,fc_dropout,time_idx,criterion,d_model,pretrained_t2v,ignore_cols,scheduler,symbol,optimizer
0.3,64,0.99,1.4342395067214966,1.0,"[0.866, 0.087, 0.047]",140,20,0.3632408008904299,64,0,1.0000000000000002e-06,0.7171197533607483,2,256,2048,0.1,1024,0.017117017362284517,0.56,0.4645337301587301,4,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.7101330161094666,1.0,"[0.89, 0.055, 0.055]",140,20,0.3682891911238368,128,1,1.0000000000000002e-06,0.7101330161094666,2,256,2048,0.1,1024,0.0322769844463501,0.52,0.48031496062992124,4,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.42354416847229,1.0,"[0.984, 0.0, 0.016]",140,30,0.3627286733088277,64,2,1.0000000000000002e-06,0.711772084236145,2,256,2048,0.1,1024,0.12915955271151802,0.3899999999999999,0.511780753968254,4,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6946026086807251,1.0,"[0.969, 0.0, 0.031]",140,30,0.3743871638686674,128,3,1.0000000000000002e-06,0.6946026086807251,2,256,2048,0.1,1024,0.10121073315291704,0.5700000000000001,0.5118110236220472,4,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.392529547214508,1.0,"[0.937, 0.008, 0.055]",140,20,0.36841308298001213,64,4,1.0000000000000002e-06,0.696264773607254,2,256,2048,0.1,1024,0.034142159004028796,0.52,0.49603174603174605,8,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.7167267203330994,1.0,"[0.858, 0.079, 0.063]",140,20,0.35786293237213157,128,5,1.0000000000000002e-06,0.7167267203330994,2,256,2048,0.1,1024,-0.006891091477088343,0.48,0.4566929133858268,8,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.4354833364486694,1.0,"[0.976, 0.0, 0.024]",140,30,0.3787641261008561,64,6,1.0000000000000002e-06,0.7177416682243347,2,256,2048,0.1,1024,0.15882407176221153,0.6100000000000001,0.519593253968254,8,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6922160387039185,1.0,"[0.961, 0.008, 0.031]",140,30,0.3708119350965882,128,7,1.0000000000000002e-06,0.6922160387039185,2,256,2048,0.1,1024,0.06751110597234125,0.5700000000000001,0.5039370078740157,8,2,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.4321457743644714,1.0,"[0.764, 0.157, 0.079]",140,20,0.37543373815561193,64,8,1.0000000000000002e-06,0.7160728871822357,2,256,2048,0.1,1024,0.010908034928487572,0.72,0.4332837301587301,4,3,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6958537101745605,1.0,"[0.811, 0.11, 0.079]",140,20,0.3690786099154391,128,9,1.0000000000000002e-06,0.6958537101745605,2,256,2048,0.1,1024,0.007084853043796043,0.6399999999999999,0.44881889763779526,4,3,0.1,"[6, 7, 8]",{'name': 'cb_focal'},64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},vtak,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
